CustomerID,Recency,Frequency,Monetary,Weekend_Ratio,Night_Shopper,Basket_Diversity,Return_Rate,ClusterID,ClusterName
12346,326.0,12.0,77556.46,0.0,0.0,27.0,0.2941176470588235,5,High Returns
12347,2.0,8.0,5633.32,0.125,0.0,126.0,0.0,1,High Recency • High Frequency
12348,75.0,5.0,2019.4,0.2,0.0,25.0,0.0,1,High Recency • High Frequency
12349,19.0,4.0,4428.69,0.0,0.0,138.0,0.2,5,High Returns
12350,310.0,1.0,334.4,0.0,0.0,17.0,0.0,1,High Recency • High Frequency
12351,375.0,1.0,300.93,0.0,0.0,21.0,0.0,1,High Recency • High Frequency
12352,36.0,10.0,2849.84,0.0,0.0,70.0,0.2307692307692307,5,High Returns
12353,204.0,2.0,406.76,0.0,0.0,23.0,0.0,1,High Recency • High Frequency
12354,232.0,1.0,1079.4,0.0,0.0,58.0,0.0,1,High Recency • High Frequency
12355,214.0,2.0,947.61,0.0,0.0,35.0,0.0,1,High Recency • High Frequency
12356,23.0,6.0,6373.68,0.0,0.0,104.0,0.0,1,High Recency • High Frequency
12357,33.0,3.0,18287.66,0.3333333333333333,0.0,261.0,0.0,3,Diverse Basket • Frequent
12358,2.0,5.0,3887.07,0.0,0.0,56.0,0.0,1,High Recency • High Frequency
12359,58.0,10.0,8935.939999999999,0.2,0.0,305.0,0.2857142857142857,3,Diverse Basket • Frequent
12360,52.0,8.0,4252.889999999999,0.0,0.0,160.0,0.1111111111111111,3,Diverse Basket • Frequent
12361,287.0,4.0,511.25,0.25,0.0,18.0,0.0,1,High Recency • High Frequency
12362,3.0,11.0,5356.23,0.0,0.0,201.0,0.2142857142857142,3,Diverse Basket • Frequent
12363,110.0,2.0,552.0,0.0,0.0,23.0,0.0,1,High Recency • High Frequency
12364,8.0,4.0,1313.1,0.25,0.0,70.0,0.0,1,High Recency • High Frequency
12365,291.0,2.0,641.38,0.0,0.0,22.0,0.3333333333333333,5,High Returns
12366,634.0,1.0,500.24,0.0,0.0,3.0,0.0,1,High Recency • High Frequency
12367,4.0,1.0,168.9,0.0,0.0,11.0,0.0,1,High Recency • High Frequency
12368,628.0,1.0,917.7,1.0,0.0,18.0,0.0,4,Weekend Shoppers
